player_name,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,rush_touchdown,fumble,fumble_lost,receptions,targets,receiving_air_yards,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,top_10_next,offense_snaps,total_tds,total_yards,games_missed,age,games_played_season
Niles Paul,2013,51.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,51.0,0.0,1.0,3.0,0.0,9.1,0,69.0,0.0,51.0,11,24.0,5
Nick Kasa,2013,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,56.0,1.0,1.0,2.0,1.0,5.9,0,51.0,2.0,9.0,12,22.0,4
Mychal Rivera,2013,407.0,90.0,0.0,0.0,0.0,0.0,0.0,38.0,59.0,505.0,4.0,6.0,8.0,3.0,100.7,0,592.0,8.0,407.0,0,22.0,16
Michael Hoomanawanui,2013,136.0,83.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,130.0,1.0,1.0,4.0,1.0,31.6,0,564.0,2.0,136.0,6,25.0,10
Michael Egnew,2013,69.0,30.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,76.0,0.0,1.0,1.0,0.0,13.900000000000000,0,110.0,0.0,69.0,9,23.0,7
Martellus Bennett,2013,759.0,370.0,0.0,0.0,0.0,1.0,1.0,65.0,93.0,647.0,5.0,8.0,15.0,5.0,165.9,1,953.0,10.0,759.0,0,26.0,16
Marcedes Lewis,2013,359.0,225.0,0.0,0.0,0.0,1.0,1.0,25.0,44.0,324.0,4.0,5.0,10.0,4.0,75.9,0,580.0,8.0,359.0,6,29.0,10
Luke Willson,2013,272.0,178.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,170.0,1.0,0.0,0.0,0.0,53.200000000000000,0,336.0,2.0,272.0,4,23.0,12
Levine Toilolo,2013,55.0,28.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,42.0,2.0,3.0,6.0,2.0,28.5,0,126.0,4.0,55.0,7,22.0,9
Lee Smith,2013,78.0,41.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.0,0.0,0.0,1.0,0.0,12.8,0,262.0,0.0,78.0,9,25.0,7
