player_name,position,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,rush_touchdown,pass_touchdown,interception,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,rush_attempts_redzone,rush_touchdown_redzone,fantasy_points_ppr,total_tds,touches,total_yards,age,games_played_season,top_10_next
Kevin Smith,RB,2012,79.0,100.0,37.0,134.0,3.0,1.0,1.0,0.0,0.0,10.0,16.0,1.0,2.0,3.0,1.0,4.0,1.0,43.300000000000000,3.0,47.0,213.0,25.0,9,0
Knowshon Moreno,RB,2012,167.0,126.0,138.0,525.0,18.0,4.0,0.0,1.0,1.0,21.0,25.0,0.0,3.0,3.0,0.0,23.0,4.0,109.2,4.0,159.0,692.0,25.0,8,1
Lamar Miller,RB,2012,45.0,40.0,41.0,185.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,29.0,0.0,47.0,230.0,21.0,8,0
LaMichael James,RB,2012,29.0,16.0,27.0,125.0,4.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,6.0,0.0,18.4,0.0,30.0,154.0,22.0,4,0
LaRod Stephens-Howling,RB,2012,106.0,134.0,110.0,356.0,21.0,4.0,0.0,1.0,0.0,17.0,29.0,0.0,2.0,4.0,0.0,20.0,4.0,85.2,4.0,127.0,462.0,25.0,14,0
Leon Washington,RB,2012,31.0,23.0,23.0,83.0,3.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,21.4,1.0,27.0,114.0,30.0,11,0
LeSean McCoy,RB,2012,373.0,478.0,200.0,840.0,27.0,2.0,3.0,0.0,4.0,54.0,67.0,3.0,6.0,10.0,3.0,25.0,2.0,196.3,8.0,254.0,1213.0,24.0,12,1
Mark Ingram,RB,2012,29.0,32.0,156.0,602.0,12.0,5.0,0.0,0.0,0.0,6.0,10.0,0.0,2.0,2.0,0.0,21.0,4.0,99.1,5.0,162.0,631.0,22.0,16,0
Marshawn Lynch,RB,2012,196.0,199.0,315.0,1590.0,24.0,11.0,1.0,1.0,5.0,23.0,29.0,1.0,2.0,2.0,1.0,56.0,8.0,265.6,13.0,338.0,1786.0,26.0,16,1
Matt Forte,RB,2012,340.0,295.0,248.0,1094.0,22.0,5.0,1.0,1.0,2.0,44.0,59.0,1.0,5.0,7.0,1.0,28.0,5.0,218.4,7.0,292.0,1434.0,26.0,15,1
Maurice Jones-Drew,RB,2012,68.0,57.0,68.0,337.0,6.0,1.0,1.0,1.0,1.0,11.0,12.0,1.0,2.0,2.0,1.0,7.0,0.0,61.5,3.0,79.0,405.0,27.0,5,0
Mewelde Moore,RB,2012,77.0,44.0,9.0,14.0,3.0,0.0,1.0,0.0,0.0,6.0,8.0,1.0,1.0,1.0,1.0,2.0,0.0,21.1,2.0,15.0,91.0,30.0,8,0
Michael Bush,RB,2012,83.0,84.0,114.0,411.0,9.0,5.0,0.0,0.0,1.0,9.0,11.0,0.0,1.0,2.0,0.0,20.0,5.0,85.40000000000000,5.0,123.0,494.0,28.0,13,0
Michael Turner,RB,2012,128.0,145.0,222.0,800.0,31.0,10.0,1.0,0.0,3.0,19.0,30.0,1.0,3.0,3.0,0.0,52.0,10.0,174.8,12.0,241.0,928.0,30.0,16,0
Mike Goodson,RB,2012,195.0,216.0,35.0,221.0,4.0,0.0,1.0,0.0,0.0,16.0,16.0,1.0,1.0,1.0,0.0,3.0,0.0,63.6,2.0,51.0,416.0,25.0,11,0
Mikel Leshoure,RB,2012,180.0,205.0,189.0,698.0,20.0,8.0,0.0,0.0,3.0,30.0,44.0,0.0,2.0,3.0,0.0,26.0,8.0,156.8,8.0,219.0,878.0,22.0,13,0
Montario Hardesty,RB,2012,16.0,18.0,65.0,271.0,5.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,36.7,1.0,67.0,287.0,25.0,10,0
Peyton Hillis,RB,2012,62.0,74.0,85.0,309.0,7.0,1.0,0.0,0.0,2.0,10.0,14.0,0.0,0.0,1.0,0.0,12.0,1.0,47.1,1.0,96.0,371.0,26.0,13,0
Rashad Jennings,RB,2012,121.0,144.0,93.0,252.0,10.0,2.0,0.0,1.0,3.0,18.0,24.0,0.0,1.0,2.0,0.0,6.0,2.0,62.3,2.0,111.0,373.0,27.0,9,0
Rashard Mendenhall,RB,2012,62.0,98.0,40.0,132.0,3.0,0.0,1.0,0.0,3.0,9.0,11.0,1.0,1.0,1.0,1.0,4.0,0.0,31.400000000000000,2.0,49.0,194.0,25.0,5,0
Ray Rice,RB,2012,478.0,472.0,257.0,1143.0,12.0,9.0,1.0,1.0,1.0,61.0,82.0,1.0,5.0,10.0,0.0,37.0,8.0,281.1,11.0,318.0,1621.0,25.0,16,0
Reggie Bush,RB,2012,292.0,272.0,227.0,986.0,30.0,6.0,2.0,0.0,4.0,35.0,51.0,2.0,5.0,6.0,2.0,23.0,3.0,204.8,10.0,262.0,1278.0,27.0,16,1
Robert Turbin,RB,2012,181.0,127.0,80.0,354.0,9.0,0.0,0.0,1.0,0.0,19.0,22.0,0.0,3.0,3.0,0.0,8.0,0.0,70.5,0.0,99.0,535.0,22.0,15,0
Ronnie Brown,RB,2012,363.0,375.0,41.0,189.0,3.0,0.0,0.0,0.0,0.0,47.0,58.0,0.0,11.0,13.0,0.0,4.0,0.0,102.2,0.0,88.0,552.0,30.0,13,0
Ronnie Hillman,RB,2012,62.0,69.0,85.0,330.0,12.0,1.0,0.0,0.0,2.0,10.0,12.0,0.0,1.0,1.0,0.0,11.0,1.0,52.2,1.0,95.0,392.0,20.0,14,0
Roy Helu,RB,2012,45.0,47.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,11.7,0.0,9.0,47.0,23.0,3,0
Ryan Mathews,RB,2012,220.0,290.0,174.0,663.0,13.0,1.0,0.0,0.0,1.0,34.0,49.0,0.0,3.0,3.0,0.0,12.0,1.0,125.3,1.0,208.0,883.0,24.0,11,0
Ryan Williams,RB,2012,44.0,35.0,58.0,164.0,12.0,0.0,0.0,0.0,2.0,7.0,10.0,0.0,1.0,2.0,0.0,6.0,0.0,21.8,0.0,65.0,208.0,22.0,5,0
Shane Vereen,RB,2012,149.0,140.0,62.0,251.0,4.0,3.0,1.0,0.0,1.0,8.0,13.0,1.0,1.0,3.0,0.0,15.0,3.0,69.0,5.0,70.0,400.0,23.0,11,0
Shonn Greene,RB,2012,151.0,132.0,276.0,1063.0,13.0,8.0,0.0,1.0,4.0,19.0,30.0,0.0,0.0,1.0,0.0,48.0,8.0,183.4,8.0,295.0,1214.0,27.0,16,0
Stevan Ridley,RB,2012,51.0,47.0,290.0,1263.0,30.0,12.0,0.0,1.0,4.0,6.0,13.0,0.0,0.0,1.0,0.0,62.0,12.0,201.4,12.0,296.0,1314.0,23.0,16,0
Steven Jackson,RB,2012,321.0,280.0,258.0,1045.0,26.0,4.0,0.0,0.0,0.0,38.0,53.0,0.0,3.0,7.0,0.0,29.0,4.0,198.6,4.0,296.0,1366.0,29.0,16,0
Taiwan Jones,RB,2012,11.0,16.0,6.0,21.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,8.0,32.0,24.0,3,0
Tashard Choice,RB,2012,9.0,23.0,47.0,193.0,4.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,9.0,1.0,30.200000000000000,1.0,51.0,202.0,27.0,8,0
Toby Gerhart,RB,2012,147.0,138.0,44.0,151.0,5.0,1.0,0.0,0.0,2.0,19.0,26.0,0.0,4.0,5.0,0.0,4.0,1.0,48.8,1.0,63.0,298.0,25.0,14,0
Trent Richardson,RB,2012,367.0,440.0,267.0,950.0,29.0,11.0,1.0,0.0,3.0,51.0,70.0,1.0,1.0,7.0,0.0,42.0,9.0,254.7,13.0,318.0,1317.0,22.0,15,0
Vick Ballard,RB,2012,152.0,118.0,211.0,814.0,35.0,2.0,1.0,0.0,3.0,17.0,27.0,1.0,5.0,7.0,1.0,26.0,2.0,131.6,4.0,228.0,966.0,22.0,16,0
Willis McGahee,RB,2012,221.0,234.0,168.0,731.0,11.0,4.0,0.0,0.0,5.0,26.0,33.0,0.0,4.0,5.0,0.0,30.0,4.0,133.2,4.0,194.0,952.0,30.0,10,0
Adrian Peterson,RB,2013,171.0,157.0,279.0,1266.0,30.0,10.0,1.0,1.0,5.0,29.0,39.0,1.0,4.0,7.0,1.0,39.0,8.0,227.7,12.0,308.0,1437.0,28.0,14,0
Ahmad Bradshaw,RB,2013,42.0,39.0,41.0,186.0,4.0,2.0,0.0,0.0,0.0,7.0,8.0,0.0,1.0,1.0,0.0,9.0,2.0,41.8,2.0,48.0,228.0,27.0,3,0
Alex Green,RB,2013,8.0,17.0,11.0,35.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,13.0,43.0,25.0,4,0
Alfred Morris,RB,2013,78.0,79.0,276.0,1275.0,29.0,7.0,0.0,0.0,5.0,9.0,12.0,0.0,0.0,1.0,0.0,35.0,5.0,174.3,7.0,285.0,1353.0,24.0,16,0
Andre Brown,RB,2013,72.0,84.0,92.0,311.0,13.0,2.0,0.0,0.0,3.0,16.0,21.0,0.0,2.0,3.0,0.0,10.0,1.0,57.300000000000000,2.0,108.0,383.0,26.0,6,0
Andre Ellington,RB,2013,371.0,260.0,118.0,652.0,15.0,3.0,1.0,1.0,1.0,39.0,56.0,1.0,3.0,5.0,0.0,15.0,2.0,163.3,5.0,157.0,1023.0,24.0,15,0
Anthony Dixon,RB,2013,30.0,28.0,28.0,56.0,5.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,23.6,2.0,31.0,86.0,25.0,10,0
Anthony Sherman,RB,2013,155.0,162.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,18.0,24.0,1.0,5.0,7.0,1.0,2.0,0.0,36.800000000000000,2.0,20.0,158.0,24.0,11,0
Ben Tate,RB,2013,140.0,160.0,181.0,771.0,15.0,4.0,0.0,0.0,5.0,34.0,49.0,0.0,3.0,4.0,0.0,28.0,4.0,143.1,4.0,215.0,911.0,25.0,14,0
Bernard Pierce,RB,2013,104.0,113.0,152.0,436.0,20.0,2.0,0.0,1.0,0.0,20.0,24.0,0.0,1.0,2.0,0.0,16.0,2.0,84.0,2.0,172.0,540.0,22.0,16,0
Bernard Scott,RB,2013,10.0,9.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.4,0.0,6.0,24.0,29.0,2,0
Bilal Powell,RB,2013,272.0,323.0,176.0,697.0,9.0,1.0,0.0,0.0,1.0,36.0,57.0,0.0,3.0,4.0,0.0,19.0,1.0,140.1,1.0,213.0,999.0,24.0,16,0
Brandon Bolden,RB,2013,152.0,159.0,55.0,271.0,4.0,3.0,0.0,0.0,0.0,21.0,29.0,0.0,0.0,0.0,0.0,16.0,3.0,81.3,3.0,76.0,423.0,23.0,10,0
Brandon Jacobs,RB,2013,13.0,15.0,51.0,234.0,5.0,3.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,3.0,39.700000000000000,3.0,53.0,247.0,31.0,6,0
Brian Leonard,RB,2013,179.0,153.0,47.0,182.0,4.0,0.0,0.0,0.0,0.0,29.0,37.0,0.0,2.0,4.0,0.0,3.0,0.0,65.1,0.0,76.0,361.0,29.0,16,0
